row,column,value
1,0,2
1,2,71st Street
1,5,East Bound: 6900 / West Bound: 7700
2,0,3
2,2,71st Street
2,5,East Bound: 7800 / West Bound: 8700
3,0,5
3,1,920 West
3,2,71st Street
3,5,East Bound: 8800 / West Bound: 9400
4,0,6
4,1,758 West
4,2,71st Street
5,0,7
5,1,240 East
5,2,71st St
5,5,East Bound: 9000 / West Bound: 9300
6,0,9
6,2,71st St
6,4,8600
6,5,East Bound: 3600 / West Bound: 5000
6,6,41.76626
6,8,(41.76626
7,0,10
7,2,Commercial Ave
8,0,11
8,8,(41.732725
8,2,Commercial Ave
8,7,-87.55132
9,0,12
9,2,Commercial Ave
10,0,13
10,2,Commercial Ave
10,4,9000
11,0,14
11,2,Cottage Grove Ave
12,0,15
12,2,Cottage Grove Ave
13,0,16
13,2,Cottage Grove Ave
14,0,17
14,8,(41.78269
14,2,Cottage Grove Ave
14,5,North Bound: 10300 / South Bound: 10600
14,6,41.78269
15,0,18
15,2,Cottage Grove Ave
16,0,19
16,2,Cottage Grove Ave
16,5,North Bound: 10300 / South Bound: 11400
17,0,20
17,2,Cottage Grove Ave
18,0,21
18,2,Cottage Grove Ave
18,5,North Bound: 11100 / South Bound: 11300
19,0,23
19,1,10101 South
19,2,Cottage Grove Ave
19,8,(41.710922
19,7,-87.60573
20,0,24
21,0,25
21,8,(41.854926
21,7,-87.67592
22,0,26
22,8,(41.850395
22,7,-87.67579
23,0,27
23,5,North Bound: 13800 / South Bound: 14200
24,0,28
24,4,8100
25,0,29
25,4,7000
26,0,31
27,0,32
28,0,33
29,0,34
30,0,36
30,2,Dr Martin Luther King Jr Dr
31,0,37
31,2,Dr Martin Luther King Jr Dr
32,0,38
32,2,Dr Martin Luther King Jr Dr
33,0,39
33,2,Dr Martin Luther King Jr Dr
34,0,41
34,2,Dr Martin Luther King Jr Dr
35,0,42
35,2,Dr Martin Luther King Jr Dr
36,0,43
36,1,10326 South
36,2,Dr Martin Luther King Jr Dr
37,0,44
37,8,(41.755798
37,4,8300
37,7,-87.55646
38,0,45
38,8,(41.7504
38,4,7400
38,6,41.7504
38,7,-87.5528
39,0,47
39,4,8300
40,0,48
40,8,(41.85566
40,4,6100
40,6,41.85566
40,7,-87.62228
41,0,52
41,4,7400
41,5,North Bound: 7400 / / Oneway North Bound
42,0,53
42,4,6000
42,5,North Bound: 6000 / / Oneway North Bound
43,0,55
43,4,4400
43,5,North Bound: 4400 / / Oneway North Bound
44,0,56
44,1,10320 South
44,2,Indianapolis Ave
44,5,North Bound: 19200 / South Bound: 19300
45,0,57
45,5,North Bound: 10600 / South Bound: 10600
46,0,58
46,8,(41.77038
46,5,North Bound: 11300 / South Bound: 12400
46,6,41.77038
47,0,60
47,5,North Bound: 11200 / South Bound: 13100
48,0,61
49,0,62
50,0,63
51,0,64
51,8,(41.719732
51,4,7700
51,7,-87.57529
52,0,65
52,2,Dr Martin Luther King Jr Dr
53,0,66
53,2,Dr Martin Luther King Jr Dr
54,0,67
55,0,68
56,0,69
57,0,70
58,0,71
58,4,8100
59,0,72
59,4,8000
60,0,73
60,4,7900
61,0,74
61,4,7900
62,0,75
62,4,8100
63,0,77
63,2,South Shore Dr
63,5,North Bound: 17900 / South Bound: 17200
64,0,78
64,2,South Shore Dr
65,0,79
65,2,South Shore Dr
66,0,81
66,8,(41.863436
66,7,-87.62733
67,0,82
68,0,83
68,5,North Bound: 11200 / South Bound: 10300
69,0,84
70,0,85
70,8,(41.777072
70,7,-87.62526
71,0,86
71,5,North Bound: 12500 / / Oneway North Bound
72,0,87
72,4,7500
72,5,North Bound: 7500 / / Oneway North Bound
73,0,88
73,4,4900
73,5,North Bound: 4900 / / Oneway North Bound
74,0,89
74,4,7300
75,0,90
75,4,4500
76,0,91
76,4,7100
77,0,92
77,4,4900
78,0,93
78,8,(41.831501
78,5,North Bound: 11300 / South Bound: 12100
78,7,-87.67584
79,0,94
80,0,95
80,5,North Bound: 13600 / South Bound: 14200
81,0,96
81,8,(41.849975
81,7,-87.64032
82,0,97
83,0,98
83,5,North Bound: 15200 / South Bound: 14100
84,0,99
84,8,(41.872567
84,5,North Bound: 21100 / South Bound: 17600
84,7,-87.66656
85,5,North Bound: 19800 / South Bound: 18500
86,5,North Bound: 11800 / South Bound: 11700
87,8,(41.775834
87,5,North Bound: 14000 / South Bound: 13100
87,7,-87.66412
88,5,North Bound: 16500 / South Bound: 18500
89,5,North Bound: 12800 / South Bound: 13500
90,5,North Bound: 13600 / South Bound: 12700
91,5,North Bound: 15200 / South Bound: 12600
93,5,North Bound: 12500 / South Bound: 10100
94,5,North Bound: 12700 / South Bound: 10300
97,8,(41.87346
97,6,41.87346
101,8,(41.78453
101,6,41.78453
104,5,North Bound: 16500 / South Bound: 14400
105,5,North Bound: 20800 / South Bound: 17100
106,8,(41.75002
106,6,41.75002
109,1,10122 South
110,8,(41.698034
110,1,10748 South
110,7,-87.65927
111,5,North Bound: 14900 / South Bound: 14600
112,5,North Bound: 12800 / South Bound: 12700
113,5,North Bound: 18100 / South Bound: 17200
114,5,North Bound: 12900 / South Bound: 12700
115,8,(41.77249
115,5,North Bound: 20500 / South Bound: 18600
115,6,41.77249
116,5,North Bound: 20300 / South Bound: 20200
117,5,North Bound: 14100 / South Bound: 13200
118,5,North Bound: 15000 / South Bound: 15800
119,8,(41.712676
119,5,North Bound: 17600 / South Bound: 18100
119,7,-87.68181
120,1,10630 South
120,5,North Bound: 18500 / South Bound: 18100
121,8,(41.79459
121,6,41.79459
122,8,(41.71675
122,2,Stony Island Ave
122,5,North Bound: 22600 / South Bound: 20900
122,6,41.71675
123,2,Stony Island Ave
123,5,North Bound: 38900 / South Bound: 34000
124,8,(41.740553
124,2,Stony Island Ave
124,5,North Bound: 31300 / South Bound: 30200
124,7,-87.58573
125,2,Stony Island Ave
125,5,North Bound: 24300 / South Bound: 23600
126,2,Stony Island Ave
126,5,North Bound: 32800 / South Bound: 28800
127,2,Stony Island Ave
127,5,North Bound: 24700 / South Bound: 27800
128,2,Stony Island Ave
129,8,(41.72824
129,2,92nd St
129,6,41.72824
130,2,92nd St
131,2,99th Street
131,5,East Bound: 4400 / West Bound: 8400
132,2,99th Street
132,5,East Bound: 4200 / West Bound: 7100
133,2,100th St
133,5,East Bound: 5400 / West Bound: 5600
134,8,(41.713772
134,2,100th St
134,5,East Bound: 7300 / West Bound: 5500
134,7,-87.54362
135,4,5000
136,1,10129 South
136,4,4200
137,5,North Bound: 10100 / South Bound: 10200
138,4,5300
139,4,2500
142,2,63rd Street
142,5,East Bound: 8700 / West Bound: 9300
143,2,63rd Street
143,5,East Bound: 5600 / West Bound: 5200
144,1,519 West
144,2,63rd St
144,4,8000
144,5,East Bound: 3900 / West Bound: 4100
145,1,120 East
145,2,63rd St
145,5,East Bound: 7800 / West Bound: 4600
146,1,642 East
146,2,67th St
146,5,East Bound: 6100 / West Bound: 6500
147,2,67th St
147,4,9200
147,5,East Bound: 4500 / West Bound: 4700
148,2,67th St
148,5,East Bound: 4700 / West Bound: 5600
149,1,175 West
149,2,75th Street
150,1,46 East
150,2,75th St
150,5,East Bound: 5900 / West Bound: 5800
151,1,504 East
151,2,75th St
151,5,East Bound: 8500 / West Bound: 7600
152,2,75th St
152,5,East Bound: 6300 / West Bound: 6800
153,2,76th Street
153,4,8000
153,5,East Bound: 3700 / West Bound: 4300
154,1,718 West
154,2,76th Street
154,5,East Bound: 7800 / West Bound: 7600
155,1,320 East
155,2,76th St
155,4,8600
155,5,East Bound: 3800 / West Bound: 4800
156,1,448 East
156,2,76th St
156,4,9300
156,5,East Bound: 4300 / West Bound: 5000
157,2,76th St
157,4,8600
157,5,East Bound: 4300 / West Bound: 4300
158,2,79th Street
159,2,79th Street
159,5,East Bound: 9500 / West Bound: 7800
160,2,79th Street
160,5,East Bound: 9500 / West Bound: 8100
161,1,540 West
161,2,79th Street
162,8,(41.75097
162,1,20 East
162,2,79th St
162,6,41.75097
163,1,65 East
163,2,79th St
163,5,East Bound: 9400 / West Bound: 8200
164,8,(41.75131
164,1,850 East
164,2,79th St
164,5,East Bound: 7300 / West Bound: 9000
164,6,41.75131
165,2,79th St
165,5,East Bound: 5100 / West Bound: 6300
166,8,(41.74303
166,2,83rd Street
166,5,East Bound: 6100 / West Bound: 6000
166,6,41.74303
167,2,83rdStreet
167,5,East Bound: 7800 / West Bound: 7300
168,1,10 East
168,2,83rd St
168,5,East Bound: 9100 / West Bound: 9300
169,1,505 East
169,2,83rd Street
169,5,East Bound: 8200 / West Bound: 9800
170,2,83rd Street
170,5,East Bound: 7800 / West Bound: 7800
171,2,83rd Street
171,4,9000
171,5,East Bound: 5300 / West Bound: 3700
172,2,83rd Street
172,4,8300
172,5,East Bound: 4200 / West Bound: 4100
173,2,83rd St
173,4,7300
173,5,East Bound: 3800 / West Bound: 3500
174,2,87th Street
175,2,87th Street
176,8,(41.73606
176,1,817 East
176,2,87th Street
176,6,41.73606
177,8,(41.73604
177,1,551 West
177,2,87th Street
177,6,41.73604
178,8,(41.736013
178,1,282 West
178,2,87th Street
178,5,East Bound: 7900 / West Bound: 7900
178,7,-87.63131
179,1,71 East
179,2,87th Street
180,1,920 East
180,2,87th Street
180,5,East Bound: 9600 / West Bound: 9800
181,2,87th Street
181,5,East Bound: 6700 / West Bound: 7400
182,2,87th Street
182,4,8800
182,5,East Bound: 4300 / West Bound: 4500
183,2,95th Street
184,2,95th Street
185,2,95th Street
186,1,948 West
186,2,95th Street
187,1,305 West
187,2,95th Street
188,1,202 West
188,2,95th Street
189,1,206 East
189,2,95th Street
190,2,95th Street
191,2,95th Street
192,2,95th Street
192,5,East Bound: 8600 / West Bound: 8200
193,8,(41.706991
193,1,537 West
193,2,103rd Street
193,7,-87.63698
194,1,112 West
194,2,103rd Street
195,8,(41.70726
195,1,235 East
195,2,103rd St
195,6,41.70726
196,1,907 East
196,2,103rd St
197,8,(41.764998
197,7,-87.60436
200,1,226 East
201,1,120 West
202,4,4200
203,4,5300
204,8,(41.80202
204,4,2000
204,6,41.80202
205,8,(41.790122
205,4,3500
205,7,-87.65963
206,4,5500
207,8,(41.77126
207,4,5900
207,6,41.77126
208,4,6600
209,4,5500
210,8,(41.86852
210,6,41.86852
211,4,5400
212,4,2600
213,4,6700
214,4,7700
216,8,(41.772
216,6,41.772
217,8,(41.76448
217,6,41.76448
217,7,-87.6541
220,2,18th Street
220,4,6700
220,5,East Bound: 3200 / West Bound: 3500
221,1,223 West
221,2,18th Street
221,4,8500
221,5,East Bound: 4300 / West Bound: 4200
221,6,41.85774
221,8,(41.85774
222,1,68 West
222,2,18th St
222,4,8100
222,5,East Bound: 3900 / West Bound: 4200
223,1,118 West
223,2,18th St
223,4,3800
223,5,East Bound: 1900 / West Bound: 1900
223,6,41.85789
223,8,(41.85789
224,1,943 West
224,2,31st St
224,5,East Bound: 4800 / West Bound: 5200
225,8,(41.837927
225,2,31st St
225,4,8200
225,5,East Bound: 4100 / West Bound: 4100
225,7,-87.655
226,1,315 West
226,2,31st St
226,5,East Bound: 8100 / West Bound: 8000
227,1,20 West
227,2,31st St
227,5,East Bound: 6900 / West Bound: 7500
228,1,217 East
228,2,31st St
228,5,East Bound: 6000 / West Bound: 8000
229,2,35th St
229,5,East Bound: 5300 / West Bound: 4900
230,8,(41.830382
230,2,35th St
230,5,East Bound: 7800 / West Bound: 7400
230,7,-87.67602
231,2,35th St
231,5,East Bound: 9100 / West Bound: 7900
232,1,507 West
232,2,35th St
232,5,East Bound: 6500 / West Bound: 9400
233,1,256 East
233,2,35th St
233,5,East Bound: 4800 / West Bound: 5400
234,1,521 East
234,2,35th St
234,4,9600
234,5,East Bound: 4000 / West Bound: 5600
235,2,43rd St
235,4,6100
235,5,East Bound: 3200 / West Bound: 2900
236,2,43rd St
236,4,4800
236,5,East Bound: 2800 / West Bound: 2000
237,1,506 West
237,2,43rd St
237,4,6800
237,5,East Bound: 2700 / West Bound: 4100
238,1,450 East
238,2,43rd St
238,4,8900
238,5,East Bound: 4500 / West Bound: 4400
239,2,47th St
239,5,East Bound: 9100 / West Bound: 9000
240,2,47th St
240,5,East Bound: 7800 / West Bound: 8200
241,1,20 West
241,2,47th St
241,5,East Bound: 6200 / West Bound: 9100
242,1,410 East
242,2,47th St
242,5,East Bound: 7100 / West Bound: 7600
243,2,47th St
243,5,East Bound: 8800 / West Bound: 8400
244,2,51st Street
244,4,9600
244,5,East Bound: 4400 / West Bound: 5200
245,1,929 West
245,2,51st Street
245,4,8900
245,5,East Bound: 4300 / West Bound: 4600
246,1,715 West
246,2,51st St
246,4,8500
246,5,East Bound: 4000 / West Bound: 4500
246,7,-87.6436
246,8,(41.801616
247,1,40 West
247,2,51st St
247,4,9400
247,5,East Bound: 4000 / West Bound: 5400
247,7,-87.62744
247,8,(41.801921
248,1,329 East
248,2,51st St
248,4,8800
248,5,East Bound: 4000 / West Bound: 4800
249,1,718 East
249,2,51st St
249,4,9100
249,5,East Bound: 4200 / West Bound: 4900
249,6,41.80222
249,8,(41.80222
250,1,944 West
250,2,55th Street
251,8,(41.794804
251,1,410 East
251,2,55th St
251,7,-87.61571
252,8,(41.795109
252,2,55th St
252,5,East Bound: 6500 / West Bound: 9200
252,7,-87.59326
253,2,59th Street
253,5,East Bound: 6600 / West Bound: 6800
254,8,(41.78671
254,2,59th Street
254,5,East Bound: 5900 / West Bound: 5800
254,6,41.78671
254,7,-87.66752
255,8,(41.78691
255,2,59th St
255,5,East Bound: 8200 / West Bound: 8100
255,6,41.78691
256,1,609 West
256,2,59th St
256,5,East Bound: 6900 / West Bound: 7800
257,1,124 West
257,2,59th Street
257,4,8900
257,5,East Bound: 4100 / West Bound: 4800
258,1,261 East
258,2,59th St
258,4,6500
258,5,East Bound: 3400 / West Bound: 3100
258,6,41.78747
258,8,(41.78747
259,2,Blue Island Ave
260,2,Blue Island Ave
261,2,Blue Island Ave
261,4,5200
262,5,East Bound: 7500 / West Bound: 6200
263,5,East Bound: 5300 / West Bound: 6200
264,5,East Bound: 9000 / West Bound: 8300
265,1,234 West
266,1,415 West
266,5,East Bound: 5200 / West Bound: 7100
267,1,20 West
268,1,67 East
268,5,East Bound: 7500 / West Bound: 7200
269,1,120 East
269,5,East Bound: 6300 / West Bound: 9500
270,2,Hyde Park Blvd
270,4,9700
270,5,East Bound: 5000 / West Bound: 4700
271,2,Hyde Park Blvd
271,4,7400
272,5,East Bound: 7300 / West Bound: 7600
273,5,East Bound: 7700 / West Bound: 7600
274,1,660 West
275,1,205 East
275,5,East Bound: 7500 / West Bound: 9300
276,8,(41.774978
276,1,840 East
276,5,East Bound: 7400 / West Bound: 6800
276,7,-87.6042
277,8,(41.828474
277,4,5300
277,7,-87.65091
278,4,4200
279,4,3600
281,1,340 West
281,5,East Bound: 7800 / West Bound: 7600
282,1,268 East
282,4,7200
282,5,East Bound: 3400 / West Bound: 3800
283,1,750 East
283,4,9800
283,5,East Bound: 4600 / West Bound: 5200
284,8,(41.86686
284,6,41.86686
285,1,813 West
286,1,412 West
287,1,52 East
287,2,Roosevelt RD
288,1,125 East
288,2,24th St
288,4,700
288,5,East Bound: 400 / West Bound: 300
289,1,575 West
289,2,26TH  ST
289,4,6900
289,5,East Bound: 2500 / West Bound: 4400
290,1,140 East
290,2,26th St
290,4,7800
290,5,East Bound: 3700 / West Bound: 4100
290,6,41.84566
290,8,(41.84566
291,2,56th St
291,5,East Bound: 6500 / West Bound: 7100
292,2,57th St
293,1,771 East
293,2,60th St
293,4,2900
293,5,East Bound: 1600 / West Bound: 1300
294,2,74th St
294,5,East Bound: 4900 / West Bound: 5200
295,2,83rd Pl
295,4,1300
295,5,East Bound: 500 / West Bound: 800
296,2,85th St
296,5,East Bound: 6700 / West Bound: 5600
297,1,77 East
297,5,East Bound: 4200 / West Bound: 6300
298,1,271 East
298,5,East Bound: 4500 / West Bound: 7900
299,1,530 East
299,2,Best Dr
299,4,5600
299,5,East Bound: 2600 / West Bound: 3000
300,5,North Bound: 19000 / South Bound: 18900
301,4,6600
302,2,Midway Plaisance
302,5,East Bound: 7600 / West Bound: 5800
303,1,520 East
304,1,650 East
304,5,East Bound: 9200 / West Bound: 7100
305,4,2300
306,8,(41.87389
306,4,5300
306,5,East Bound: 2400 / West Bound: 2900
306,6,41.87389
307,4,7900
307,5,East Bound: 3500 / West Bound: 4400
308,5,East Bound: 4800 / West Bound: 5800
309,4,8800
309,5,East Bound: 4400 / West Bound: 4400
310,8,(41.87436
310,5,East Bound: 6700 / West Bound: 8300
310,6,41.87436
311,1,15 East
311,2,Harrison ST
311,4,5900
311,5,East Bound: 2500 / West Bound: 3400
311,6,41.87438
311,8,(41.87438
312,1,754 West
312,5,East Bound: 5600 / West Bound: 5400
313,8,(41.866652
313,4,4800
313,7,-87.64217
314,4,6400
314,5,North Bound: 6400 / / Oneway North Bound
315,2,Midway Plaisance
315,5,East Bound: 9200 / West Bound: 7500
316,1,830 East
316,4,4900
316,5,East Bound: 3300 / West Bound: 1600
317,1,188 West
317,2,Polk St
317,4,8900
317,5,East Bound: 5100 / West Bound: 3800
320,8,(41.74028
320,6,41.74028
320,7,-87.54538
321,4,2400
323,4,7300
325,5,North Bound: 19600 / South Bound: 18200
326,5,North Bound: 23100 / South Bound: 19900
327,8,(41.873925
327,4,7800
327,5,North Bound: 7800 / / Oneway North Bound 
327,7,-87.62919
328,2,Des Plaines St
328,4,6300
329,1,11043 South
329,4,6700
330,4,1200
332,4,1800
333,4,8200
334,2,St Lawrence Ave
334,4,5000
335,4,6200
336,2,Van Vlissingen Rd
336,4,6800
337,8,(41.873661
337,4,9100
337,7,-87.62598
338,8,(41.86832
338,6,41.86832
339,4,4200
340,8,(41.801676
340,4,8100
340,7,-87.59669
344,2,Pope John Paul II
344,4,7000
344,5,West Bound: 7000/ Oneway West Bound
345,1,742 West
345,2,Root St
345,4,3200
345,5,East Bound: 1400 / West Bound: 1800
346,4,7200
347,4,5500
348,4,3000
349,4,165200
349,5,North Bound: 86200 / South Bound: 79000
350,4,111600
350,5,North Bound: 52400 / South Bound: 59200
351,8,(41.706839
351,1,10344 South
351,5,North Bound: 11200 / South Bound: 10400
351,7,-87.55965
352,1,10250 South
352,4,6800
353,8,(41.70242
353,1,10535 South
353,4,8300
353,6,41.70242
354,1,10452 South
354,5,North Bound: 11300 / South Bound: 10700
355,1,11335 South
356,1,11201 South
356,2,Cottage Grove Ave
356,4,6700
357,1,11750 South
357,4,7800
358,1,11600 South
358,5,North Bound: 16100 / South Bound: 14200
359,1,11867 South
359,4,7000
360,8,(41.66836
360,1,12423 South
360,4,8900
360,6,41.66836
361,1,12007 South
361,4,6300
362,1,12054 South
362,4,3100
363,1,13027 South
363,4,4400
364,8,(41.659854
364,1,12940 South
364,7,-87.55928
365,1,13200 South
368,5,North Bound: 16800 / South Bound: 14900
369,2,Des Plaines St
369,4,8800
370,5,North Bound: 17100 / South Bound: 17300
371,5,East Bound: 6000 / West Bound: 6300
372,5,East Bound: 5900 / West Bound: 6600
373,5,North Bound: 18800 / South Bound: 21100
374,5,East Bound: 8100 / West Bound: 8600
375,2,55th St
376,2,Lake St
376,4,9700
376,5,East Bound: 5400 / West Bound: 4300
378,8,(41.90128
378,5,North Bound: 18700 / South Bound: 19100
378,6,41.90128
380,5,North Bound: 10700 / South Bound: 12000
381,8,(41.877113
381,4,9800
381,5,East Bound: 4100 / West Bound: 5700
381,7,-87.77081
382,5,East Bound: 4600 / West Bound: 6200
383,2,Lake St
383,4,7100
383,5,East Bound: 3600 / West Bound: 3500
384,5,East Bound: 6400 / West Bound: 5800
386,8,(41.931174
386,7,-87.77358
388,2,106th St
388,5,East Bound: 9900 / West Bound: 6600
389,8,(41.65732
389,1,13101 South
389,6,41.65732
390,8,(41.651861
390,2,134th St
390,4,4700
390,5,East Bound: 2500 / West Bound: 2200
390,7,-87.54501
391,8,(41.93269
391,6,41.93269
392,8,(41.9477
392,1,618 West
392,5,East Bound: 6100 / West Bound: 5500
392,6,41.9477
394,8,(41.97914
394,6,41.97914
395,2,26th St
396,2,51st St
397,2,47th St
398,5,East Bound: 7600 / West Bound: 6600
400,8,(41.81567
400,2,43rd St
400,4,4200
400,6,41.81567
401,5,East Bound: 6500 / West Bound: 5800
402,2,16th St
402,4,9500
402,5,East Bound: 4400 / West Bound: 5100
403,8,(41.95327
403,2,Irving Park Rd
403,6,41.95327
406,5,East Bound: 5800 / West Bound: 6000
