Department Code,Department Name,Department Full Name,School Code,School Name,Dept Budget Code,Is Degree Granting,Dept Name In Commencement Bk,School Name In Commencement Bk,Department Name History,Department Last Activity Date,Dlc Key,Warehouse Load Date
4,Architecture,  4 -Architecture,A,Architecture and Planning,031000,Y,Department of Architecture,School of Architecture and Planning,"",02/17/94 12:00 AM,D_ARCH,01/08/16 12:10 AM
11,Urban Studies and Planning, 11 -Urban Studies and Planning,A,Architecture and Planning,035000,Y,Department of Urban Studies and Planning,School of Architecture and Planning,"",02/17/94 12:00 AM,D_DUSP,01/08/16 12:10 AM
RED,Center for Real Estate Develop,RED -Center for Real Estate Develop,A,Architecture and Planning,033000,Y,Center for Real Estate Development,School of Architecture and Planning,"",09/24/09 12:00 AM,D_CRE,01/08/16 12:10 AM
MAS,Prog in Media Arts Sciences,MAS -Prog in Media Arts Sciences,A,Architecture and Planning,036000,Y,Program in Media Arts and Sciences,School of Architecture and Planning,"",02/17/94 12:00 AM,D_MAS,01/08/16 12:10 AM
SA&P,School of Arch & Planning,SA&P-School of Arch & Planning,A,Architecture and Planning,030000,Y,Program in School of Arch & Planning,School of Architecture and Planning,"",02/17/94 12:00 AM,D_DEANARCH,01/08/16 12:10 AM
1,Civil and Environmental Eng,  1 -Civil and Environmental Eng,E,Engineering,063000,Y,Department of Civil and Environmental Engineering,School of Engineering,Civil Eng (    ),08/21/96 12:00 AM,D_CEE,01/08/16 12:10 AM
2,Mechanical Engineering,  2 -Mechanical Engineering,E,Engineering,065000,Y,Department of Mechanical Engineering,School of Engineering,"",08/21/96 12:00 AM,D_MECHE,01/08/16 12:10 AM
3,Materials Science and Eng,  3 -Materials Science and Eng,E,Engineering,066000,Y,Department of Materials Science and Engineering,School of Engineering,"",02/17/94 12:00 AM,D_DMSE,01/08/16 12:10 AM
13,Ocean Engineering, 13 -Ocean Engineering,E,Engineering,067000,Y,Department of Ocean Engineering,School of Engineering,"",02/17/94 12:00 AM,D_OCEAN,01/08/16 12:10 AM
HST,Health Sciences & Technology,HST -Health Sciences & Technology,E,Engineering,061902,Y,Program in Health Sciences and Technology,School of Engineering,"",08/24/12 12:00 AM,D_IMES,01/08/16 12:10 AM
CTS,Ctr for Transportation Studies,CTS -Ctr for Transportation Studies,E,Engineering,069500,Y,"",School of Engineering,"",02/17/94 12:00 AM,D_CTL,01/08/16 12:10 AM
TPP,Technology and Policy Program,TPP -Technology and Policy Program,E,Engineering,069900,Y,Program in Technology and Policy,School of Engineering,"",02/17/94 12:00 AM,D_TPP,01/08/16 12:10 AM
SENG,School of Engineering,SENG-School of Engineering,E,Engineering,060000,Y,Program in School of Engineering,School of Engineering,"",02/17/94 12:00 AM,D_DOE,01/08/16 12:10 AM
EN,Center for Adv Eng Studies,EN  -Center for Adv Eng Studies,E,Engineering,069000,Y,"",School of Engineering,"",01/04/95 12:00 AM,D_CAES,01/08/16 12:10 AM
SDM,System Design & Management Prg,SDM -System Design & Management Prg,E,Engineering,060800,Y,Program in System Design and Management,School of Engineering,"",11/18/99 12:00 AM,D_SDM,01/08/16 12:10 AM
BEH,Bioengineering & Envir. Health,BEH -Bioengineering & Envir. Health,E,Engineering,069200,Y,Biological Engineering Division,School of Engineering,was TOX,11/18/99 12:00 AM,D_BIOENG,01/08/16 12:10 AM
ESD,Engineering Systems Division,ESD -Engineering Systems Division,E,Engineering,068100,Y,Engineering Systems Division,School of Engineering,"",11/18/99 12:00 AM,D_IDSS,01/08/16 12:10 AM
ASP,Advanced Study Program,ASP -Advanced Study Program,E,Engineering,405100,Y,"",School of Engineering,was CAES,11/07/03 12:00 AM,D_ASP,01/08/16 12:10 AM
CSB,Computational and Systems Bio,CSB -Computational and Systems Bio,E,Engineering,069200,Y,Program in Computational and Systems Biology,School of Engineering,"",03/15/07 12:00 AM,D_CSBI,01/08/16 12:10 AM
CDO,Computation for Des & Optmiz,CDO -Computation for Des & Optmiz,E,Engineering,060000,Y,Program in Computation for Design and Optimization,School of Engineering,"",02/26/09 12:00 AM,D_CDO,01/08/16 12:10 AM
6,Electrical Eng & Computer Sci,  6 -Electrical Eng & Computer Sci,E,Engineering,064000,Y,Department of Electrical Engineering and Computer Science,School of Engineering,"",02/17/94 12:00 AM,D_EECS,01/08/16 12:10 AM
16,Aeronautics and Astronautics, 16 -Aeronautics and Astronautics,E,Engineering,061000,Y,Department of Aeronautics and Astronautics,School of Engineering,"",02/17/94 12:00 AM,D_AEROASTRO,01/08/16 12:10 AM
20,Biological Engineering, 20 -Biological Engineering,E,Engineering,069200,Y,Department of Biological Engineering,School of Engineering,was Applied Biological Engineering,06/28/07 12:00 AM,D_BIOENG,01/08/16 12:10 AM
MAP,Midcareer Acceleration Program,MAP -Midcareer Acceleration Program,E,Engineering,405100,Y,"",School of Engineering,"",09/20/06 12:00 AM,D_CAES,01/08/16 12:10 AM
PEP,Professional Education Prog,PEP -Professional Education Prog,E,Engineering,405100,Y,"",School of Engineering,"",11/03/06 12:00 AM,D_PEP,01/08/16 12:10 AM
EM,System Design & Management Prg,EM  -System Design & Management Prg,E,Engineering,060800,Y,Program in System Design and Management,School of Engineering,"",06/23/15 12:00 AM,D_SDM,01/08/16 12:10 AM
17,Political Science, 17 -Political Science,H,"Hum, Arts & Social Sciences",095500,Y,Department of Political Science,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_POLSCI,01/08/16 12:10 AM
21,Humanities, 21 -Humanities,H,"Hum, Arts & Social Sciences",090000,Y,Department of Humanities,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_DHSS,01/08/16 12:10 AM
21H,History, 21H-History,H,"Hum, Arts & Social Sciences",093400,Y,History,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_HISTORY,01/08/16 12:10 AM
21L,Literature, 21L-Literature,H,"Hum, Arts & Social Sciences",093600,Y,Literature,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_LIT,01/08/16 12:10 AM
21M,Music and Theater Arts, 21M-Music and Theater Arts,H,"Hum, Arts & Social Sciences",093700,Y,Music and Theater Arts,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_MTA,01/08/16 12:10 AM
21A,Anthropology, 21A-Anthropology,H,"Hum, Arts & Social Sciences",093200,Y,Program in Anthropology,"School of Humanities, Arts, and Social Sciences",Anthropol/Archaeol until 1998-99,05/30/06 12:00 AM,D_ANTHRO,01/08/16 12:10 AM
23,Modern Languages, 23 -Modern Languages,H,"Hum, Arts & Social Sciences","",Y,"","School of Humanities, Arts, and Social Sciences","",02/08/94 12:00 AM,D_FLL,01/08/16 12:10 AM
HASS,HASS Office (fcns as SHSS Ofc),HASS-HASS Office (fcns as SHSS Ofc),H,"Hum, Arts & Social Sciences",090000,Y,Program in HASS Office (fcns as SHSS Ofc),"School of Humanities, Arts, and Social Sciences","",08/29/94 12:00 AM,D_DHSS,01/08/16 12:10 AM
21N,21F no lottery, 21N-21F no lottery,H,"Hum, Arts & Social Sciences",093300,Y,"","School of Humanities, Arts, and Social Sciences","",08/01/95 12:00 AM,D_FLL,01/08/16 12:10 AM
21E,Humanities and Engineering, 21E-Humanities and Engineering,H,"Hum, Arts & Social Sciences",090000,Y,Department of Humanities,"School of Humanities, Arts, and Social Sciences","",10/12/00 12:00 AM,D_DHSS,01/08/16 12:10 AM
14,Economics, 14 -Economics,H,"Hum, Arts & Social Sciences",091000,Y,Department of Economics,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_ECO,01/08/16 12:10 AM
21F,Global Studies & Languages, 21F-Global Studies & Languages,H,"Hum, Arts & Social Sciences",093300,Y,Global Studies & Languages,"School of Humanities, Arts, and Social Sciences","",07/01/14 12:00 AM,D_FLL,01/08/16 12:10 AM
24,Linguistics and Philosophy, 24 -Linguistics and Philosophy,H,"Hum, Arts & Social Sciences",094000,Y,Department of Linguistics and Philosophy,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_L&P,01/08/16 12:10 AM
CMS,Comparative Media Studies,CMS -Comparative Media Studies,H,"Hum, Arts & Social Sciences",093600,Y,Program in Comparative Media Studies,"School of Humanities, Arts, and Social Sciences","",10/28/99 12:00 AM,D_CMS,01/08/16 12:10 AM
21S,Humanities and Science, 21S-Humanities and Science,H,"Hum, Arts & Social Sciences",090000,Y,Department of Humanities,"School of Humanities, Arts, and Social Sciences","",10/12/00 12:00 AM,D_DHSS,01/08/16 12:10 AM
WGS,Women's and Gender Studies,WGS -Women's and Gender Studies,H,"Hum, Arts & Social Sciences","",Y,"","School of Humanities, Arts, and Social Sciences","",04/21/11 12:00 AM,D_DHSS,01/08/16 12:10 AM
21G,Global Studies and Languages, 21G-Global Studies and Languages,H,"Hum, Arts & Social Sciences",093300,Y,Global Studies and Languages,"School of Humanities, Arts, and Social Sciences",For Lang & Lit,04/02/15 12:00 AM,"",01/08/16 12:10 AM
15,Management, 15 -Management,M,Sloan School of Management,121000,Y,Sloan School of Management,Sloan School of Management,"",02/17/94 12:00 AM,D_SLOAN,01/08/16 12:10 AM
SMGT,School of Management,SMGT-School of Management,M,Sloan School of Management,121000,Y,Program in School of Management,Sloan School of Management,"",02/17/94 12:00 AM,D_SLOAN,01/08/16 12:10 AM
LFM,Leaders For Manufacturing,LFM -Leaders For Manufacturing,M,Sloan School of Management,170000,Y,"",Sloan School of Management,"",08/15/96 12:00 AM,"",01/08/16 12:10 AM
OR,Operations Research,OR  -Operations Research,M,Sloan School of Management,121152,Y,Program in Operations Research,Sloan School of Management,"",06/30/15 12:00 AM,D_SLOAN,01/08/16 12:10 AM
LGO,Leaders for Global Operations,LGO -Leaders for Global Operations,M,Sloan School of Management,170000,Y,"",Sloan School of Management,"",05/08/09 12:00 AM,D_LGO,01/08/16 12:10 AM
5,Chemistry,  5 -Chemistry,S,Science,152000,Y,Department of Chemistry,School of Science,"",02/17/94 12:00 AM,D_CHEM,01/08/16 12:10 AM
7,Biology,  7 -Biology,S,Science,151000,Y,Department of Biology,School of Science,"",02/17/94 12:00 AM,D_BIOLOGY,01/08/16 12:10 AM
8,Physics,  8 -Physics,S,Science,158000,Y,Department of Physics,School of Science,"",02/17/94 12:00 AM,D_PHYSICS,01/08/16 12:10 AM
9,Brain and Cognitive Sciences,  9 -Brain and Cognitive Sciences,S,Science,154500,Y,Department of Brain and Cognitive Sciences,School of Science,"",02/17/94 12:00 AM,D_B&CS,01/08/16 12:10 AM
18,Mathematics, 18 -Mathematics,S,Science,154000,Y,Department of Mathematics,School of Science,"",02/17/94 12:00 AM,D_MATHS,01/08/16 12:10 AM
25,Interdisciplinary Science Prog, 25 -Interdisciplinary Science Prog,S,Science,"",Y,"",School of Science,"",01/21/94 12:00 AM,D_DEANSCI,01/08/16 12:10 AM
19,Meteorology & Physical Oceanog, 19 -Meteorology & Physical Oceanog,S,Science,153000,Y,Department of Meteorology,School of Science,"",10/04/10 12:00 AM,D_EAPS,01/08/16 12:10 AM
SSCI,School of Science,SSCI-School of Science,S,Science,150000,Y,Program in School of Science,School of Science,"",02/17/94 12:00 AM,D_DEANSCI,01/08/16 12:10 AM
12,"Earth, Atmos & Planetary Sci"," 12 -Earth, Atmos & Planetary Sci",S,Science,153000,Y,"Department of Earth, Atmospheric, and Planetary Sciences",School of Science,"",02/17/94 12:00 AM,D_EAPS,01/08/16 12:10 AM
TOX,Division of Toxicology,TOX -Division of Toxicology,T,Whitaker Coll of HST;  HST,164000,Y,Program in Toxicology,Whitaker College of Health Sciences and Technology,"",02/17/94 12:00 AM,D_BIOENG,01/08/16 12:10 AM
WHIT,"Whit Col of Health, Sci & Tech","WHIT-Whit Col of Health, Sci & Tech",T,Whitaker Coll of HST;  HST,160000,Y,"Program in Whit Col of Health, Sci & Tech",Whitaker College of Health Sciences and Technology,"",02/17/94 12:00 AM,D_WHIT,01/08/16 12:10 AM
HPM,Health Policy & Management,HPM -Health Policy & Management,T,Whitaker Coll of HST;  HST,160000,Y,"",Whitaker College of Health Sciences and Technology,"",02/17/94 12:00 AM,D_WHIT,01/08/16 12:10 AM
ADM,Admissions Office,ADM -Admissions Office,X,"MIT, non-academic",446100,N,"","","",02/17/94 12:00 AM,D_ADM,01/08/16 12:10 AM
REG,Registrar's Office,REG -Registrar's Office,X,"MIT, non-academic",446700,N,"","","",02/17/94 12:00 AM,D_REG,01/08/16 12:10 AM
ALU,Alumni/ae Office,ALU -Alumni/ae Office,X,"MIT, non-academic","",N,"","","",02/11/93 12:00 AM,D_ALUM,01/08/16 12:10 AM
BUR,Bursar's Office,BUR -Bursar's Office,X,"MIT, non-academic",446900,N,"","","",02/17/94 12:00 AM,D_SFS,01/08/16 12:10 AM
SFAO,Student Financial Aid Office,SFAO-Student Financial Aid Office,X,"MIT, non-academic",446800,N,"","","",02/17/94 12:00 AM,D_SFS,01/08/16 12:10 AM
OME,Office of Minority Education,OME -Office of Minority Education,X,"MIT, non-academic",441000,N,"","","",02/17/94 12:00 AM,D_OME,01/08/16 12:10 AM
UAAO,Undergraduate Academic Affairs,UAAO-Undergraduate Academic Affairs,X,"MIT, non-academic",441000,N,"","","",02/17/94 12:00 AM,D_DUE:HQ,01/08/16 12:10 AM
MISC,Miscellaneous (no dept code),MISC-Miscellaneous (no dept code),X,"MIT, non-academic","",N,"","","",03/16/94 12:00 AM,D_UNDEF,01/08/16 12:10 AM
MED,Medical Department,MED -Medical Department,X,"MIT, non-academic","",N,"","","",03/16/94 12:00 AM,D_MEDICAL,01/08/16 12:10 AM
ARC,Academic Resource Center,ARC -Academic Resource Center,X,"MIT, non-academic",441000,N,"","",formerly UAAO,08/25/98 12:00 AM,D_ACAD,01/08/16 12:10 AM
RES,Residential Life,RES -Residential Life,X,"MIT, non-academic","",N,"","","",05/06/99 12:00 AM,D_SLP,01/08/16 12:10 AM
UAAP,Undergrad Adv & Acad Prog,UAAP-Undergrad Adv & Acad Prog,X,"MIT, non-academic",441000,N,"","",formerly ARC,01/03/07 12:00 AM,D_DUE:HQ,01/08/16 12:10 AM
PXL,Interphase/Seminar XL,PXL -Interphase/Seminar XL,X,"MIT, non-academic","",N,"","","",03/27/12 12:00 AM,D_STU_SPECIAL,01/08/16 12:10 AM
NS,Naval Science (ROTC),NS  -Naval Science (ROTC),Y,"MIT, academic",187800,N,"","","",02/17/94 12:00 AM,D_ROTC,01/08/16 12:10 AM
DUE,Dean for Undergrad Education,DUE -Dean for Undergrad Education,Y,"MIT, academic","",N,"","","",11/29/12 12:00 AM,"",01/08/16 12:10 AM
FOR,Foreign Study Program,FOR -Foreign Study Program,Y,"MIT, academic",446600,N,"","","",02/17/94 12:00 AM,D_CSPA,01/08/16 12:10 AM
AS,Aerospace Studies (ROTC),AS  -Aerospace Studies (ROTC),Y,"MIT, academic",187100,N,"","","",02/17/94 12:00 AM,D_ROTC,01/08/16 12:10 AM
MS,Military Science (ROTC),MS  -Military Science (ROTC),Y,"MIT, academic",187500,N,"","","",02/17/94 12:00 AM,D_ROTC,01/08/16 12:10 AM
WCD,Wellesley Double Degree Prog,WCD -Wellesley Double Degree Prog,Y,"MIT, academic",441000,N,"","","",02/17/94 12:00 AM,D_DUE:HQ,01/08/16 12:10 AM
DOM,Domestic Study Program,DOM -Domestic Study Program,Y,"MIT, academic",446600,N,"","","",02/17/94 12:00 AM,D_CSPA,01/08/16 12:10 AM
EC,Edgerton Center,EC  -Edgerton Center,Y,"MIT, academic","",N,"","","",04/08/11 12:00 AM,D_EDGERTON,01/08/16 12:10 AM
ODGE,Dean for Graduate Education,ODGE-Dean for Graduate Education,Y,"MIT, academic",442700,N,"","","",07/15/08 12:00 AM,D_DEANGRAD,01/08/16 12:10 AM
ENE,Energy Initiative,ENE -Energy Initiative,Y,"MIT, academic","",N,"","","",08/25/09 12:00 AM,D_LFEE,01/08/16 12:10 AM
SEM,Undergraduate Seminars,SEM -Undergraduate Seminars,Y,"MIT, academic","",N,"","","",10/21/08 12:00 AM,D_STU_SPECIAL,01/08/16 12:10 AM
CON,Concourse,CON -Concourse,Y,"MIT, academic",069600,N,"","","",03/05/07 12:00 AM,D_CONCOURSE,01/08/16 12:10 AM
FAS,Freshman/Alumni Summer Intern,FAS -Freshman/Alumni Summer Intern,Y,"MIT, academic","",N,"","","",01/30/15 12:00 AM,D_STU_SPECIAL,01/08/16 12:10 AM
WMN,Women's and Gender Studies,WMN -Women's and Gender Studies,Y,"MIT, academic","",N,"","","",04/06/10 12:00 AM,D_DHSS,01/08/16 12:10 AM
GSO,Graduate School Office,GSO -Graduate School Office,Y,"MIT, academic",442700,N,"","","",06/30/95 12:00 AM,D_DEANGRAD,01/08/16 12:10 AM
ZZZ,Dummy to get sorts,ZZZ -Dummy to get sorts,Y,"MIT, academic","",N,"","","",04/13/95 12:00 AM,D_UNDEF,01/08/16 12:10 AM
UND,Undesignated Sophomore,UND -Undesignated Sophomore,Y,"MIT, academic",441000,N,"","","",02/17/94 12:00 AM,D_STUDENT_UND,01/08/16 12:10 AM
NONE,Freshmen,NONE-Freshmen,Y,"MIT, academic",441000,N,"","","",02/17/94 12:00 AM,D_STUDENT_FRESH,01/08/16 12:10 AM
CAES,Center for Adv Educ Services,CAES-Center for Adv Educ Services,Y,"MIT, academic",405100,N,"","",associated with school of engineering through 5th week of 1998SP,11/18/99 12:00 AM,D_CAES,01/08/16 12:10 AM
ESG,Experimental Study Group,ESG -Experimental Study Group,Y,"MIT, academic",159000,N,"","","",10/20/11 12:00 AM,D_ESG,01/08/16 12:10 AM
ISP,Terrascope,ISP -Terrascope,Y,"MIT, academic","",N,"","","",01/11/10 12:00 AM,D_ISP,01/08/16 12:10 AM
NIV,Visiting Research Cross-Enroll,NIV -Visiting Research Cross-Enroll,Z,Non-MIT,"",N,"","","",10/10/96 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIU,BU Cross-Enrollment Prog,NIU -BU Cross-Enrollment Prog,Z,Non-MIT,"",N,"","","",08/30/93 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NI,Non-Inst Cross-Enrollment Prog,NI  -Non-Inst Cross-Enrollment Prog,Z,Non-MIT,"",N,"","","",05/09/94 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIG,Gordon Coll Cross-Enroll Prog,NIG -Gordon Coll Cross-Enroll Prog,Z,Non-MIT,"",N,"","","",10/17/07 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIR,Brandeis Cross-Enroll Prog,NIR -Brandeis Cross-Enroll Prog,Z,Non-MIT,"",N,"","","",02/08/94 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIT,Tufts Cross-Enrollment Prog,NIT -Tufts Cross-Enrollment Prog,Z,Non-MIT,"",N,"","","",08/30/93 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
ZNIH,Harvard dummy to get sorts,ZNIH-Harvard dummy to get sorts,Z,Non-MIT,"",N,"","","",01/22/95 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIN,Endicott Coll Cross-Enroll Pro,NIN -Endicott Coll Cross-Enroll Pro,Z,Non-MIT,"",N,"","","",09/12/08 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIH,Harvard Cross-Enrollment Prog,NIH -Harvard Cross-Enrollment Prog,Z,Non-MIT,"",N,"","","",02/11/93 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIW,Wellesley Cross-Enrollment Pro,NIW -Wellesley Cross-Enrollment Pro,Z,Non-MIT,441000,N,"","","",02/17/94 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIL,Lesley Coll Cross-Enroll Prog,NIL -Lesley Coll Cross-Enroll Prog,Z,Non-MIT,"",N,"","","",03/12/09 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
N/A,Not Available,N/A -Not Available,NA,Not Available,"",N,"","","","",D_UNDEF,01/08/16 12:00 AM
22,Nuclear Engineering, 22 -Nuclear Engineering,E,Engineering,068000,Y,Department of Nuclear Science and Engineering,School of Engineering,"",12/09/05 12:00 AM,D_NUCENG,01/08/16 12:10 AM
BE,Biological Engineering,BE  -Biological Engineering,E,Engineering,069200,Y,Biological Engineering Division,School of Engineering,was BEH,08/15/02 12:00 AM,D_BIOENG,01/08/16 12:10 AM
10,Chemical Engineering, 10 -Chemical Engineering,E,Engineering,062000,Y,Department of Chemical Engineering,School of Engineering,"",02/17/94 12:00 AM,D_CHEME,01/08/16 12:10 AM
SCM,Supply Chain Management Progra,SCM -Supply Chain Management Progra,E,Engineering,069501,Y,Program in Supply Chain Management,School of Engineering,"",07/08/15 12:00 AM,D_SCM,01/08/16 12:10 AM
21W,Writing & Humanistic Studies, 21W-Writing & Humanistic Studies,H,"Hum, Arts & Social Sciences",093800,Y,Program in Writing and Humanistic Studies,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_CMS,01/08/16 12:10 AM
STS,"Science, Technology & Society","STS -Science, Technology & Society",H,"Hum, Arts & Social Sciences",097000,Y,"Program in Science, Technology, and Society","School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_STS,01/08/16 12:10 AM
EDG,Edgerton Center,EDG -Edgerton Center,Y,"MIT, academic","",N,"","","",11/10/94 12:00 AM,D_EDGERTON,01/08/16 12:10 AM
ZZZZ,Dummy to get sorts,ZZZZ-Dummy to get sorts,Y,"MIT, academic","",N,"","","",04/13/95 12:00 AM,D_UNDEF,01/08/16 12:10 AM
OCW,On-Campus Wellesley,OCW -On-Campus Wellesley,Y,"MIT, academic","",N,"","","",09/28/93 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
WHOI,Woods Hole Oceanographic Inst,WHOI-Woods Hole Oceanographic Inst,Y,"MIT, academic",401860,N,"","","",08/27/99 12:00 AM,D_VPRESOFF,01/08/16 12:10 AM
NIA,Non-Institute-MFA/MCA,NIA -Non-Institute-MFA/MCA,Z,Non-MIT,"",N,"","","",09/24/98 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIE,Non-Institute Exchange Student,NIE -Non-Institute Exchange Student,Z,Non-MIT,"",N,"","","",07/12/95 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
ZNIW,Wellesley dummy to get sorts,ZNIW-Wellesley dummy to get sorts,Z,Non-MIT,"",N,"","","",01/22/95 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIS,Salem State Cross-Enroll Prog,NIS -Salem State Cross-Enroll Prog,Z,Non-MIT,"",N,"","","",10/10/07 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIC,Grad Consortium Women's Stud,NIC -Grad Consortium Women's Stud,Z,Non-MIT,"",N,"","","",12/16/05 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
